source,author,title,description,url,urlToImage,publishedAt,content,Sentiment
"{'id': None, 'name': 'Yahoo Entertainment'}",Brian Sozzi,Salesforce CEO Marc Benioff on guidance miss: 'We'll have a great year',Salesforce co-founder and CEO Marc Benioff said the company is on track to have another big year.,https://finance.yahoo.com/news/salesforce-ceo-marc-benioff-on-guidance-miss-well-have-a-great-year-012045289.html,https://s.yimg.com/ny/api/res/1.2/AuuzPyIwKzN6pkXUwLLUiA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDY-/https://s.yimg.com/os/creatr-uploaded-images/2024-09/d2b5f3e0-75cd-11ef-aedb-81bbe3079445,2025-02-27T01:20:45Z,"A little air has been let out of the balloon that had become Salesforce (CRM) shares.
Salesforce stock fell 5% in after-hours trading on Wednesday after the company's 2025 earnings per share outlook… [+3963 chars]",0.5267
"{'id': None, 'name': 'BeInCrypto'}",Landon Manning,Los precios de las criptomonedas se desploman mientras Trump anuncia aranceles del 25% a la UE,"Los aranceles sorpresa de Trump a la UE han sacudido los mercados cripto, empujando el precio de Bitcoin por debajo de 85.000 dólares y desencadenando salidas récord de ETF. A pesar del caos, la historia de resiliencia de la comunidad cripto sugiere esperanza…",https://es.beincrypto.com/precios-criptomonedas-desploman-trump-aranceles-25-porciento-ue/,https://es.beincrypto.com/wp-content/uploads/2024/10/bic_politifi_tokens-covers_coins_bearish.jpg.webp,2025-02-26T23:45:41Z,"Después de señales bajistas consistentes, el anuncio sorpresa del Presidente Trump sobre los aranceles a la UE ha devastado a Bitcoin y al mercado cripto en general. Las acciones tradicionales relaci… [+3896 chars]",0.34
"{'id': None, 'name': 'Biztoc.com'}",247wallst.com,Price Prediction and Forecast,"Shares of Tesla (NASDAQ: TSLA) fell by -3.97% on Wednesday, compounding shareholders woes after what has been a difficult start to the year. Over the past month, the stock has fallen -26.78%, and it is now down -39.40% since its six-month high on Dec. 17, 202…",https://biztoc.com/x/4d0cf2b6304a69c3,https://biztoc.com/cdn/906/og.png,2025-02-26T22:52:52Z,"Shares of Tesla (NASDAQ: TSLA) fell by -3.97% on Wednesday, compounding shareholders woes after what has been a difficult start to the year. Over the past month, the stock has fallen -26.78%, and it … [+144 chars]",-0.6908
"{'id': None, 'name': 'Biztoc.com'}",thestreet.com,Popular Elon Musk rival accused of fraud in damning short report,"As the leader of several industry-leading companies, Elon Musk has many rivals across multiple sectors.
Coverage often centers around the automakers that have chipped away at Tesla’s (TSLA) share of the global EV market. 
 Don’t miss the move: SIGN UP for…",https://biztoc.com/x/629b5206a751fe33,https://biztoc.com/cdn/629b5206a751fe33_s.webp,2025-02-26T21:45:45Z,"As the leader of several industry-leading companies, Elon Musk has many rivals across multiple sectors.Coverage often centers around the automakers that have chipped away at Teslas (TSLA) share of th… [+132 chars]",0.296
"{'id': None, 'name': 'Quartz India'}",Josh Fellman,U.S. stocks give up morning gains to close mixed,U.S. stocks gave up their early gains to close mixed on Wednesday as U.S. bond yields fell again amid confusing comments from Donald Trump about tariffs on Canada and Mexico and after more lackluster economic data. Nvidia (NVDA) stock ended up 3.67% ahead of …,https://qz.com/us-stocks-close-lower-on-tariff-confusion-1851766674,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/772cadd110a6b56ef2b1b1487d8e8bb0.jpg",2025-02-26T21:10:00Z,"In This Story
U.S. stocks gave up their early gains to close mixed on Wednesday as U.S. bond yields fell again amid confusing comments from Donald Trump about tariffs on Canada and Mexico and after … [+1210 chars]",0.128
"{'id': None, 'name': 'Quartz India'}",William Gavin,"Tesla, GM, and other car makers are winning their customers' loyalty","General Motors (GM) and Tesla (TSLA) have some of the most loyal customers, according to new research.Read more...",https://qz.com/gm-tesla-lincoln-ford-brand-loyal-customer-tariff-1851766636,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/e27665a35c8d097f93dd9237fd682cb6.jpg",2025-02-26T19:56:34Z,"In This Story
General Motors (GM+3.78%
) and Tesla (TSLA-4.49%
) have some of the most loyal customers, according to new research.
S&amp;P Global Mobility (SPGI-0.40%
), an automotive data and r… [+3273 chars]",0.5256
"{'id': None, 'name': 'Biztoc.com'}",barchart.com,Elon Musk Is Driving Tesla Stock Off a Cliff. That’s Good News for Would-Be TSLA Investors,"Less than $10/month! View ALL results for your Stocks, ETFs and Funds Screeners with Barchart Plus.
FREE 30 Day Trial
- Market Pulse
- VolatilityVolume & Open InterestHorizontal StrategiesButterfly Strategies
-
- ResourcesEuropean FuturesEuropean Groupings
- …",https://biztoc.com/x/48aadede8a9611d1,https://biztoc.com/cdn/48aadede8a9611d1_s.webp,2025-02-26T17:50:38Z,"Less than $10/month! View ALL results for your Stocks, ETFs and Funds Screeners with Barchart Plus.FREE 30 Day Trial- Market Pulse- VolatilityVolume &amp; Open InterestHorizontal StrategiesButterfly … [+135 chars]",0.0
"{'id': None, 'name': 'Slashdot.org'}",feedfeeder,Tesla Stock Is Rising. Where the Charts Say It Could Be Headed Next. - Barron's,Tesla Stock Is Rising. Where the Charts Say It Could Be Headed Next.Barron's Tesla sales sink 45 percent in EuropeThe Washington Post Tesla shares falling as European sales drop. Is Musk to blame?CBS News Tesla's market cap sinks below $1 trillion as stock sl…,https://slashdot.org/firehose.pl?op=view&amp;id=176551161,,2025-02-26T15:33:16Z,The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.,-0.0418
"{'id': None, 'name': 'Yahoo Entertainment'}",Sanji Feng,"Amazon優惠｜DJI Osmo Action 5 Pro 運動相機首降，HK$2,670 三電池暢拍套裝直送香港","Yahoo編輯團隊致力為你搜羅優質產品及優惠價格，文章內部份連結商戶與雅虎有合作關係。定價及供應量有機會更改，一切以商戶最新資料為凖。
更新日期： 2025年2月26日 下午3:08
DJI Osmo Action 5 Pro 運動相機首降，HK$2,670 三電池暢拍套裝直送香港
雖然才開工不久，但已經在為之後的假期出遊做準備？喜歡邊玩邊拍的你千萬不要錯過 DJI Osmo Action 5 Pro 推出後的首波大優惠，目前它的暢拍套裝正在 Amazon 上以 US$369 的低價大促中。換算過來大約是 …",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_cd036f49-88b9-4b61-ae34-cc793e149ec8,,2025-02-26T15:08:18Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+703 chars]",0.5423
"{'id': None, 'name': 'Quartz India'}",Vinamrata Chaturvedi,"Nvidia, Tesla, Super Micro Computer: Stocks to watch today","U.S. stocks edged higher in on Wednesday as investors awaited Nvidia’s highly anticipated earnings report. New home sales data, set for release at 10 a.m. New York time will provide fresh insights into the housing market’s performance and emerging trends.Read…",https://qz.com/nvidia-smci-tesla-super-micro-stocks-to-watch-1851766513,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/d012155663068719ebb2c2b1b4e6305f.jpg",2025-02-26T14:55:00Z,"In This Story
U.S. stocks edged higher in on Wednesday as investors awaited Nvidias highly anticipated earnings report. New home sales data, set for release at 10 a.m. New York time will provide fre… [+957 chars]",-0.0258
"{'id': None, 'name': 'Biztoc.com'}",247wallst.com,Elon Musk’s Wealth Plunges $75 Billion,"Elon Musk’s net worth is down $75 billion this year to $358 billion, according to the Bloomberg Billionaire Index. While much of this is due to Tesla Inc. (NASDAQ: TSLA), a large portion of his net worth is in other companies.
 
 
24/7 Wall St. Key Points:
 
…",https://biztoc.com/x/198aee1f5c9e750b,https://biztoc.com/cdn/906/og.png,2025-02-26T14:40:14Z,"Elon Musks net worth is down $75 billion this year to $358 billion, according to the Bloomberg Billionaire Index. While much of this is due to Tesla Inc. (NASDAQ: TSLA), a large portion of his net wo… [+138 chars]",0.2263
"{'id': None, 'name': 'Biztoc.com'}",aol.com,10 assets that are surprisingly 10% or more below their 52-week highs,"The market is going through a rough patch, and for some former high-flying assets, the sell-offs are becoming very pronounced.
Amazon (AMZN), Alphabet (GOOG), Microsoft (MSFT), Nvidia (NVDA), and Tesla (TSLA) are all 10% or more below their 52-week highs. Fro…",https://biztoc.com/x/3717b0440fca2d80,https://biztoc.com/cdn/906/og.png,2025-02-26T13:37:44Z,"The market is going through a rough patch, and for some former high-flying assets, the sell-offs are becoming very pronounced.Amazon (AMZN), Alphabet (GOOG), Microsoft (MSFT), Nvidia (NVDA), and Tesl… [+147 chars]",0.1779
"{'id': None, 'name': 'Quartz India'}",William Gavin,Tesla's stock slide drops its market cap under $1 trillion,"Tesla (TSLA) stock surged after President Donald Trump won last November’s election, based on his relationship with CEO Elon Musk. But that relationship is likely a driving factor behind the erasure of much of those gains. Read more...",https://qz.com/tesla-stock-market-cap-elon-musk-donald-trump-election-1851766498,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/25cab334d2fd92d425e38ed6fca235fb.jpg",2025-02-26T13:33:00Z,"Tesla (TSLA) stock surged after President Donald Trump won last Novembers election, based on his relationship with CEO Elon Musk. But that relationship is likely a driving factor behind the erasure o… [+3231 chars]",0.3291
"{'id': None, 'name': 'Yahoo Entertainment'}",Brian Sozzi,10 assets that are surprisingly 10% or more below their 52-week highs,Some formerly hot assets are getting punched out.,https://finance.yahoo.com/news/10-assets-that-are-surprisingly-10-or-more-below-their-52-week-highs-132316680.html,https://s.yimg.com/ny/api/res/1.2/RweJr7EcbfAI9vdedfZ3zg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2025-01/835b68f0-de84-11ef-9dfa-aa512f983e73,2025-02-26T13:23:16Z,"The market is going through a rough patch, and for some former high-flying assets, the sell-offs are becoming very pronounced.
Amazon (AMZN), Alphabet (GOOG), Microsoft (MSFT), Nvidia (NVDA), and Te… [+3733 chars]",0.3976
"{'id': None, 'name': 'Biztoc.com'}",investors.com,"Dow Jones Futures Rise As Nvidia Partner Super Micro Soars; Tesla, Hims Lead Growth Woes","Dow Jones futures rose Wednesday morning, along with S&P 500 futures and Nasdaq futures. Nvidia (NVDA) earnings are on tap. The stock market had a mixed session Tuesday, with continued selling in highly valued growth stocks. Tesla (TSLA) and Hims & Hers (HIMS…",https://biztoc.com/x/b77216b1221442bf,https://biztoc.com/cdn/b77216b1221442bf_s.webp,2025-02-26T10:28:20Z,"Dow Jones futures rose Wednesday morning, along with S&amp;P 500 futures and Nasdaq futures. Nvidia (NVDA) earnings are on tap. The stock market had a mixed session Tuesday, with continued selling in… [+151 chars]",0.0
"{'id': None, 'name': 'Frandroid'}",Vincent Sergère,Ces vidéos montrent à quel point la fonction la plus révolutionnaire des Tesla fonctionne bien en dehors d’Amérique,"Ça y est, la fonctionnalité la plus bluffante des Tesla est enfin disponible en dehors d'Amérique, et plus précisément en Chine avant son arrivée en Europe. Il s'agit de la conduite autonome baptisée FSD. Les premières vidéos de clients sont réellement impres…",https://www.frandroid.com/marques/tesla/2519385_ces-videos-montrent-a-quel-point-la-fonction-la-plus-revolutionnaire-des-tesla-fonctionne-bien-en-dehors-damerique,"https://c0.lestechnophiles.com/images.frandroid.com/wp-content/uploads/2025/02/updated-autopilot-on-the-road-in-china-some-call-it-fsd-0-11-screenshot-1200x675-1.jpg?resize=1600,900&key=c731dc33&watermark",2025-02-26T10:07:32Z,"Ça y est, la fonctionnalité la plus bluffante des Tesla est enfin disponible en dehors d’Amérique, et plus précisément en Chine, avant son arrivée en Europe. Il s’agit de la conduite autonome baptisé… [+7393 chars]",0.0
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Guggenheim Reiterates “Sell” Rating for Tesla (NASDAQ:TSLA),"Guggenheim reiterated their sell rating on shares of Tesla (NASDAQ:TSLA – Free Report) in a research note issued to investors on Tuesday,Benzinga reports. A number of other analysts have also recently commented on TSLA. Stifel Nicolaus dropped their price obj…",https://www.etfdailynews.com/2025/02/26/guggenheim-reiterates-sell-rating-for-tesla-nasdaqtsla/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/tesla-inc-logo.png?v=20221020135629&w=240&h=240&zc=2,2025-02-26T08:49:00Z,"Guggenheim reiterated their sell rating on shares of Tesla (NASDAQ:TSLA – Free Report) in a research note issued to investors on Tuesday,Benzinga reports.
A number of other analysts have also recent… [+5142 chars]",0.7003
"{'id': 'next-big-future', 'name': 'Next Big Future'}",Brian Wang,Tesla FSD Trained to Drive in China Using Only Internet Chinese Driving Videos,Tesla FSD (Full Self Driving version 13.2.6) has been localized to China using only internet driving videos of driving in China. Previously it was believed that Tesla would need to be able to send a lot of driving videos collected in China to retrain the base…,https://www.nextbigfuture.com/2025/02/tesla-fsd-trained-to-drive-in-china-using-only-internet-chinese-driving-videos.html,https://nextbigfuture.s3.amazonaws.com/uploads/2025/02/Screenshot-2025-02-25-at-11.30.03-PM.jpg,2025-02-26T07:37:54Z,"Tesla FSD (Full Self Driving version 13.2.6) has been localized to China using only internet driving videos of driving in China.
Previously it was believed that Tesla would need to be able to send a… [+4877 chars]",0.0
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Automotive Stocks To Watch Now – February 24th,"NVIDIA, Tesla, and Taiwan Semiconductor Manufacturing are the three Automotive stocks to watch today, according to MarketBeat’s stock screener tool. Automotive stocks are the shares of companies that design, manufacture, and sell motor vehicles and related co…",https://www.etfdailynews.com/2025/02/26/automotive-stocks-to-watch-now-february-24th/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/nvidia-co-logo-1200x675.jpg?v=20221020142916&w=240&h=240&zc=2,2025-02-26T07:04:44Z,"NVIDIA, Tesla, and Taiwan Semiconductor Manufacturing are the three Automotive stocks to watch today, according to MarketBeat’s stock screener tool. Automotive stocks are the shares of companies that… [+3995 chars]",0.296
"{'id': None, 'name': 'Tistory.com'}",T.B,"윤석열, 김건희실과 국민의힘 ""싸이코패스 의심""",South Korea’s impeached President Yoon Suk Yeol will get his last chance to defend himself before judges as they wrap up a trial to decide whether to permanently remove him from office for his ill-fated martial law declaration https://t.co/sGdgIJiXNd— Bloombe…,https://ryueyes11.tistory.com/511505,https://img1.daumcdn.net/thumb/R800x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FcLXUKa%2FbtsMxBFWOkK%2FGPC2muM9LMKrtthNdHd1U0%2Fimg.jpg,2025-02-26T06:31:03Z,South Korea’s impeached President Yoon Suk Yeol will get his last chance to defend himself before judges as they wrap up a trial to decide whether to permanently remove him from office for his ill-fa… [+3302 chars],0.25
"{'id': None, 'name': 'Tistory.com'}",T.B,"테슬라 판매량 급락, 1분기 어닝 쇼크 날 것","Seven of the biggest companies that have powered the majority of the S&P 500’s gains over the past two years are not having a great start to 2025 https://t.co/YEMTSBIx8e— Bloomberg Technology (@technology) February 25, 2025 Tesla was the exception, with sales…",https://ryueyes11.tistory.com/511504,https://img1.daumcdn.net/thumb/R800x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FbMUHD6%2FbtsMwBl3vYw%2FjT7hxGqpZBiy4mUAlpT0S1%2Fimg.jpg,2025-02-26T03:06:55Z,"Seven of the biggest companies that have powered the majority of the S&amp;P 500’s gains over the past two years are not having a great start to 2025 https://t.co/YEMTSBIx8e
— Bloomberg Technology (… [+1615 chars]",-0.2249
"{'id': None, 'name': 'Forbes'}","John Navin, Contributor, 
 John Navin, Contributor
 https://www.forbes.com/sites/johnnavin/","Tuesday’s Tech Stock Tank: Super Micro, Tesla, Advanced Micro, Intel",[id=5] The buy the dip crowd failed to make an appearance Tuesday and the tech stocks they’ve been pumping up suffered the damage.,https://www.forbes.com/sites/johnnavin/2025/02/25/tuesdays-tech-stock-tank-super-micro-tesla-advanced-micro-intel/,https://imageio.forbes.com/specials-images/imageserve/60d4f30f18c41947fc0b2941/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2025-02-26T02:40:27Z,"Tech stocks
getty
The buy the dip crowd failed to make an appearance Tuesday and the tech stocks theyve been pumping up suffered the damage. Some of the big names tanked lower and could not find th… [+2648 chars]",-0.8979
"{'id': None, 'name': 'Biztoc.com'}",thestreet.com,Tesla rival offers salvation for EV owners fed up with Elon Musk,"For someone who wears many hats, including—but not limited to—being the CEO of Tesla TSLA and SpaceX and the owner of social media platform X (formerly known as Twitter), the world's richest man, Elon Musk has a lot of time on his hands. 
These days, it is ha…",https://biztoc.com/x/62a75cb9973f5a2a,https://biztoc.com/cdn/62a75cb9973f5a2a_s.webp,2025-02-26T02:13:54Z,"For someone who wears many hats, includingbut not limited tobeing the CEO of Tesla TSLA and SpaceX and the owner of social media platform X (formerly known as Twitter), the world's richest man, Elon … [+139 chars]",0.6207
"{'id': None, 'name': 'Yahoo Entertainment'}",中天新聞網,特斯拉賣不動了！股價暴跌8％　美媒曝馬斯克最新身家,美國電動車大廠特斯拉（TSLA）股價25日暴跌超過8%，導致該公司市值跌破一兆美元。美媒指出，特斯拉銷量正遭遇史無前例的下滑，不過馬斯克作為世界首富的地位仍十分穩固。,https://tw.news.yahoo.com/%E7%89%B9%E6%96%AF%E6%8B%89%E8%B3%A3%E4%B8%8D%E5%8B%95%E4%BA%86-%E8%82%A1%E5%83%B9%E6%9A%B4%E8%B7%8C8-%E7%BE%8E%E5%AA%92%E6%9B%9D%E9%A6%AC%E6%96%AF%E5%85%8B%E6%9C%80%E6%96%B0%E8%BA%AB%E5%AE%B6-101251587.html,https://s.yimg.com/ny/api/res/1.2/gvBI4vIL32vJO5evDEALwQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/ko/gotv_ctitv_com_tw_678/b0550e9e38ea00b8a8f4c6bbb36b44ad,2025-02-26T02:12:51Z,"[Newtalk] TSLA25 8.39%117Donald Trump 9,810 25% Nasdaq 1.5%1216 483.99 37.4%Elon Musk 1,000CNBC 3,800 LSEG 1125 93 87 8% 23%Model 3Model YModel S Model X",0.0
"{'id': None, 'name': 'Electrek'}",Jo Borrás,"TSLA gets hammered, Mercedes set to ditch EQ, and big van news","With revenue tumbling almost as fast as market share, Tesla stock is taking a pounding – exactly like CEO Elon Musk predicted! We’ve also got FSD rolling out in China, a German automation acquisition, and more on today’s red candlestick edition of Quick Charg…",http://electrek.co/2025/02/25/tsla-gets-hammered-mercedes-set-to-ditch-eq-and-big-van-news/,https://i0.wp.com/electrek.co/wp-content/uploads/sites/3/2025/02/hammered.jpg?resize=1200%2C628&quality=82&strip=all&ssl=1,2025-02-26T02:10:54Z,"With revenue tumbling almost as fast as market share, Tesla stock is taking a pounding  exactly like CEO Elon Musk predicted! We’ve also got FSD rolling out in China, a German automation acquisition,… [+1185 chars]",0.6114
